text,label,confidence,reason,features,source
اشتراك سبوتيفاي 6 أشهر Spotify Premium  استمتع بتجربة موسيقية لا مثيل لها مع اشتراك سبوتيفاي بريميوم Spotify Premium اكتشف منصة الموسيقى الأولى عالميا واستمتع بكل ما تحبه من الأغاني العربية والعالمية في مكان واحد أنشئ قوائم التشغيل الخاصة بك واكتشف ملايين الأغاني بسهولة مزايا اشتراك سبوتيفاي بريميوم تشغيل الموسيقى في الخلفية حتى لو كان هاتفك مغلقا أو تستخدم تطبيقات أخرى استمتع بأغانيك المفضلة بدون إعلانات مزعجة وصول حصري لأحدث الأغاني والإصدارات العالمية والعربية إمكانية تنزيل الأغاني والاستماع إليها دون اتصال بالإنترنت الضمان والجودة مدة ضمان الاشتراك بنفس مدة الاشتراك التي اخترتها ستحصل على دعوة خاصة على الرقم المسجل في طلبك وبإمكانك الانضمام إلى اشتراكك فورا طريقة استلام الاشتراك سيتم إرسال رابط تفعيل اشتراكك في سبوتيفاي مباشرة إلى حسابك الشخصي دون الحاجة لأي معلومات دخول أو بيانات إضافية لسهولة وسرعة تفعيل اشتراكك فورا الاستفسار تواصل معنا الآن عبر قنوات دعم الواتساب 966532170085 تيليجرام TRxSTOREBOT يسعدنا خدمتكم على مدار الساعة سبوتيفاي بريميوم عالم من الموسيقى بين يديك ,2,0.9,"The product offers a Spotify Premium subscription with a lifetime or multi-month duration and mentions sending activation links directly to the user's personal account, which implies shared access or account sharing, both considered illegal.","['Spotify Premium subscription', '6 months duration', 'activation link sent to personal account', 'shared access']",llm
اشتراك نورد في بي ان NordVPN  يمكنك تحميل البرنامج من الموقع الرسمي من هنا او يمكنك التحميل مباشرة من نظام الويندوز أضغط هنا,2,0.9,"Product is a subscription service (NordVPN subscription), and lifetime or subscription sales are classified as illegal according to the rules.","['اشتراك', 'NordVPN', 'subscription']",llm
اشتراك أمازون برايم 6 اشهر بروفايل Amazon Prime ,2,0.9,Lifetime or subscription-based accounts are considered illegal according to the rules.,"['اشتراك', 'Amazon Prime', '6 اشهر']",llm
اشتراك استارز بلاي باقة الأفلام والمسلسلات والرياضة الماكس لمدة 3 شهر ,2,0.9,"The product is a subscription service being sold, which is considered illegal according to the rules.","['اشتراك', 'subscription', '3 شهر']",llm
اشتراك استارز بلاي باقة الأفلام والمسلسلات والرياضة الماكس لمدة 6 شهر ,2,0.9,Lifetime or long-term subscription products are classified as illegal according to the rules.,"['اشتراك', '6 شهر', 'subscription']",llm
اشتراك استارز بلاي باقة الأفلام والمسلسلات والرياضة الماكس لمدة 12 شهر ,2,0.9,"The product is a subscription service being sold, which is considered illegal according to the rules.","['اشتراك', 'subscription', '12 month duration']",llm
اشتراك استارز بلاي باقة الأفلام والمسلسلات والرياضة الماكس شهر واحد ,2,0.9,"The product is a subscription service being sold, which is considered illegal as it likely involves unauthorized account sharing or resale.","['اشتراك', 'subscription', 'باقة', 'package', 'شهر واحد', 'one month']",llm
سناب بلس باس يوم واحد كود سناب زيرو تجربة احترافية لمدة 24 ساعة استمتع بيوم كامل من المزايا الاستثنائية على تطبيق سناب شات مع كود زيرو يوم يوفر لك الكود تجربة متقدمة وتحكما كاملا في حسابك بطريقة آمنة وسهلة الاستخدام المميزات رفع الصور والفيديوهات من الاستوديو وكأنها لحظية تغيير موقعك على الخريطة بحرية تامة حفظ القصص والسنابات بدون قيود التقاط الشاشة دون إشعار الطرف الآخر مزايا احترافية تمنحك تجربة سناب شات مختلفة كليا مواصفات الكود يعمل لمدة 24 ساعة فقط من التفعيل يتطلب وجود متجر تطبيقات بلس لتفعيل سناب زيرو مخصص لجهاز واحد فقط ولا يمكن استخدامه على أكثر من جهاز يعمل بعد تسجيل الدخول فقط لا يوجد ضمان ضد الحظر والاستخدام يتم على مسؤوليتك الشخصية احصل على كود سناب زيرو الآن من فاست تايم واستمتع بيوم كامل من الأدوات الاحترافية والمزايا المتطورة على سناب شات ,0,0.9,"The product is a one-day code (voucher) for Snapchat Plus features, which aligns with allowed categories such as code/voucher. It does not mention account sharing, lifetime subscription, or illegal access.","['one-day code', 'voucher', 'Snapchat Plus features', 'temporary access']",llm
سناب بلس باس 30 يوم كود سناب زيرو تجربة احترافية لمدة 30 يوم استمتع بيوم كامل من المزايا الاستثنائية على تطبيق سناب شات مع كود زيرو يوم يوفر لك الكود تجربة متقدمة وتحكما كاملا في حسابك بطريقة آمنة وسهلة الاستخدام المميزات رفع الصور والفيديوهات من الاستوديو وكأنها لحظية تغيير موقعك على الخريطة بحرية تامة حفظ القصص والسنابات بدون قيود التقاط الشاشة دون إشعار الطرف الآخر مزايا احترافية تمنحك تجربة سناب شات مختلفة كليا مواصفات الكود يعمل لمدة 30 يوم فقط من التفعيل يتطلب وجود متجر تطبيقات بلس لتفعيل سناب زيرو مخصص لجهاز واحد فقط ولا يمكن استخدامه على أكثر من جهاز يعمل بعد تسجيل الدخول فقط لا يوجد ضمان ضد الحظر والاستخدام يتم على مسؤوليتك الشخصية احصل على كود سناب زيرو الآن من فاست تايم واستمتع بيوم كامل من الأدوات الاحترافية والمزايا المتطورة على سناب شات ,0,0.9,"The product is a 30-day code (voucher) for Snapchat Plus features, which fits the allowed category of code/voucher.","['30-day code', 'voucher', 'Snapchat Plus', 'temporary subscription']",llm
اشتراك أمازون برايم 3 اشهر بروفايل Amazon Prime ,2,0.9,"Subscription product with a limited duration is generally allowed, but 'اشتراك' (subscription) and 'بروفايل' (profile) suggest shared access or account sharing, which is illegal.","['اشتراك', 'بروفايل', 'Amazon Prime']",llm
اشتراك يودل البلس ,2,0.9,"The product is a subscription (اشتراك) which is likely a lifetime or unauthorized subscription, classified as illegal.","['اشتراك', 'يودل البلس']",llm
4950 مجوهره ازار TOP UP GEMS AZAR ,0,0.8,"The product appears to be a top-up or in-game currency (gems) for a digital game, which is typically allowed as a code or voucher.","['top-up', 'gems', 'digital currency']",llm
22000 مجوهره ازار TOP UP GEMS AZAR ,1,0.7,"The product description is unclear and could refer to in-game currency top-up, but lacks explicit mention of code or voucher, making it suspicious.","['unclear product description', 'possible in-game currency top-up']",llm
1880 مجوهره ازار TOP UP GEMS AZAR ,1,0.7,"The product name suggests it is related to in-game currency (gems) top-up, but it is unclear whether this is a code/voucher or shared account access. Due to ambiguity, it is classified as suspicious.","['top-up', 'gems', 'unclear product type']",llm
ثري دي ماكس سنة كاملة Autodesk 3ds Max  ثري دي ماكس Autodesk 3ds Max احصل على اشتراك Autodesk 3ds Max أقوى برنامج للنمذجة والتصميم ثلاثي الأبعاد والمستخدم على نطاق واسع في التصميم المعماري الديكور الداخلي الألعاب والإعلانات الخيار المثالي للمصممين والمهندسين الذين يبحثون عن إخراج واقعي ونتائج احترافية عالية الجودة مزايا اشتراك Autodesk 3ds Max نمذجة ثلاثية الأبعاد احترافية 3D Modeling تصميم معماري وديكور داخلي بإخراج واقعي مناسب لتصميم الألعاب والمشاهد ثلاثية الأبعاد أدوات إضاءة وخامات متقدمة لإظهار التفاصيل بدقة إعداد مشاهد Render عالية الجودة دعم الإضافات الاحترافية مثل V Ray Corona Arnold توافق مع برامج Autodesk الأخرى مثل AutoCAD وRevit حفظ ومزامنة الملفات عبر السحابة الاستخدام على جهاز واحد فقط في نفس الوقت مميزات الاشتراك عبر تركس اشتراك رسمي وموثوق دعم فني متواصل 24 7 على حسابك الشخصي اشتراكات مضمونة 100 ملاحظات سيتم ارسال دعوة لك على حسابك اشتراك تعليمي وبعد قبول دعوه سيتم تفعيل اشتراك ليش تختار Autodesk 3ds Max لأن 3ds Max هو البرنامج المفضل لإخراج التصاميم الواقعية معتمد لدى مصممي الديكور والمعماريين إخراج معماري واقعي بجودة عالية مناسب للألعاب والإعلانات Render احترافي ومرن دعم واسع للإضافات أداء قوي للمشاريع الكبيرة باختصار 3ds Max هو أداتك الأساسية للإبداع ثلاثي الأبعاد والإخراج الواقعي ,2,0.9,"The product description mentions that the subscription will be activated after sending an invitation to the user's account, indicating shared access or team invite, which is illegal according to the rules.","['اشتراك', 'دعوة على حسابك', 'تفعيل اشتراك بعد قبول دعوة', 'shared access']",llm
بطاقة ستيم سعودي 100 ريال ,0,0.95,"The product is a Steam card voucher, which is allowed according to the rules.","['voucher', 'Steam card', '100 ريال']",llm
بطاقة ستيم سعودي 200 SR ,0,0.9,"The product is a Steam card voucher, which is allowed according to the rules.","['voucher', 'Steam card', '200 SR']",llm
بطاقة أمازون 50 أمريكي ,0,0.9,"The product is an Amazon gift card (voucher), which is allowed.","['voucher', 'Amazon', '50 USD']",llm
بطاقة بلايستيشن 100 للحساب الأمريكي ,0,0.9,"The product is a PlayStation card (voucher) for the US account, which is allowed as it is a code/voucher.","['voucher', 'PlayStation card', 'account-specific']",llm
بطاقة ستيم سعودي 20 SR ,0,0.95,"The product is a Steam card voucher, which is allowed according to the rules.","['voucher', 'Steam card', '20 SR']",llm
اشتراك نيترو كلاسيك ديسكورد 12 اشهر DISCORD NITRO ,2,0.9,"Lifetime or long-term subscription product, which is classified as illegal according to the rules.","['اشتراك', '12 اشهر', 'DISCORD NITRO']",llm
اشتراك McAfee VPN كمبيوتر والهاتف  اشتراك برامج VPN حماية وتصفح بلا قيود استمتع بتصفح آمن وسريع مع اشتراك VPN الذي يمنحك خصوصية كاملة إخفاء عنوان IP والوصول إلى المحتوى المحجوب من أي مكان في العالم الحل المثالي للحفاظ على أمانك الرقمي فتح المواقع وحماية بياناتك على الإنترنت مزايا اشتراك VPN تشفير قوي للبيانات وحماية الخصوصية تغيير الموقع الجغرافي دول متعددة إخفاء عنوان IP ومنع التتبع فتح المواقع والخدمات المحجوبة سرعة اتصال مستقرة بدون تقطيع حماية عند استخدام شبكات Wi Fi العامة يعمل على الجوال الكمبيوتر والتابلت مميزات الاشتراك عبر تركس اشتراك رسمي وموثوق دعم فني متواصل 24 7 مناسب لمستخدمي الشرق الأوسط تفعيل مضمون 100 ما هي مدة التفعيل يتم تفعيل الاشتراك خلال 24 ساعة فقط من إتمام الطلب والدفع بنجاح لمن هذا المنتج مستخدمو الإنترنت الباحثون عن الخصوصية محبو الألعاب أونلاين مستخدمو منصات البث الموظفون وأصحاب الأعمال المسافرون أي شخص يهتم بالأمان الرقمي شروط الاستخدام الاشتراك مخصص لمستخدم واحد فقط يمنع مشاركة بيانات اشتراك يختلف عدد الأجهزة حسب نوع الخدمة سرعة الاتصال تعتمد على الدولة المختارة ليش تختار VPN لأنه خط الدفاع الأول لخصوصيتك على الإنترنت أمان وحماية للبيانات حرية تصفح بدون قيود تجربة إنترنت أسرع وأكثر استقرارا أمان عند الاتصال بالشبكات العامة وصول لمحتوى عالمي باختصار VPN يمنحك إنترنت آمن مفتوح وخاص ,2,0.9,"The product is a subscription service being sold, which is considered a lifetime subscription or account sharing scenario, both of which are illegal according to the rules.","['اشتراك', 'VPN subscription', 'lifetime subscription', 'account sharing']",llm
اشتراك استارز بلاي باقة الأفلام والمسلسلات والرياضة الماكس خاص ,2,0.9,"Product is a subscription service being sold, which is considered illegal as it implies account sharing or unauthorized access.","['اشتراك', 'subscription', 'باقة', 'package', 'خاص', 'special']",llm
بطاقة شحن سوا 30 ريال ,0,0.95,"The product is a recharge card (voucher) for 30 Riyals, which is allowed.","['voucher', 'recharge card', '30 ريال']",llm
اشتراك اس تي سي شهر واحد STC TV Premium ,2,0.9,"Product is a subscription service being sold, which is considered illegal according to the rules.","['اشتراك', 'شهر واحد', 'STC TV Premium']",llm
اشتراك فريبيك 3 أشهر freepik Premium ,2,0.9,"The product is a subscription (اشتراك) for a premium service, which is often considered illegal if resold or shared without authorization, especially if it implies lifetime or unauthorized access.","['اشتراك', 'Premium', 'subscription']",llm
اشتراك فريبيك 6 أشهر freepik Premium ,2,0.9,Lifetime or multi-month subscription sales are considered illegal according to the rules.,"['اشتراك', '6 أشهر', 'Premium']",llm
اشتراك شاترستوك فديوهات Shutterstock Premium ,2,0.9,"The product is a subscription service (Shutterstock Premium), and lifetime or subscription sales are classified as illegal according to the rules.","['اشتراك', 'Shutterstock Premium', 'subscription']",llm
اشتراك كوبايلوت بريميوم لمدة 12 اشهر Microsoft Copilot Premium  كوبايلوت Microsoft Copilot عزز إنتاجيتك اليومية مع Microsoft Copilot مساعد ذكي يعمل بالذكاء الاصطناعي لمساعدتك في الكتابة التحليل إنشاء المحتوى وتنفيذ المهام بسرعة ودقة أعلى الحل المثالي للموظفين الطلاب ورواد الأعمال الباحثين عن عمل أذكى وأسرع مزايا اشتراك Microsoft Copilot مساعد ذكي للكتابة تقارير رسائل محتوى تحليل البيانات وتلخيص الملفات والمستندات إنشاء عروض PowerPoint بشكل تلقائي تحسين وصياغة رسائل البريد في Outlook دعم ذكي داخل تطبيقات Microsoft 365 توفير الوقت وزيادة الإنتاجية يعمل عبر السحابة وبشكل فوري اشتراك مشترك مميزات الاشتراك عبر تركس اشتراك رسمي وموثوق دعم فني متواصل 24 7 اشتراك عالمي تفعيل مضمون 100 شامل اوفيس 365 ما هي مدة التفعيل يتم تفعيل الاشتراك خلال 24 ساعة فقط من إتمام الطلب والدفع بنجاح لمن هذا المنتج الموظفون وأصحاب الأعمال الطلاب والباحثون محللو البيانات ومدراء المشاريع صناع المحتوى والكتاب رواد الأعمال ليش تختار Microsoft Copilot لأنه يحول طريقة عملك إلى تجربة ذكية مدعومة بالذكاء الاصطناعي ذكاء اصطناعي متكامل مع أوفيس كتابة أسرع وأكثر احترافية تحليل ذكي للمعلومات توفير كبير في الوقت والجهد إنتاجية أعلى يوميا باختصار Copilot هو شريكك الذكي لإنجاز الأعمال بكفاءة أعلى ,2,0.9,"The product is a 12-month subscription for Microsoft Copilot Premium, which is a lifetime or long-term subscription service. According to the rules, lifetime subscriptions are illegal.","['12-month subscription', 'Microsoft Copilot Premium', 'اشتراك']",llm
اشتراك كوبايلوت بريميوم لمدة شهر Microsoft Copilot Premium  كوبايلوت Microsoft Copilot عزز إنتاجيتك اليومية مع Microsoft Copilot مساعد ذكي يعمل بالذكاء الاصطناعي لمساعدتك في الكتابة التحليل إنشاء المحتوى وتنفيذ المهام بسرعة ودقة أعلى الحل المثالي للموظفين الطلاب ورواد الأعمال الباحثين عن عمل أذكى وأسرع مزايا اشتراك Microsoft Copilot مساعد ذكي للكتابة تقارير رسائل محتوى تحليل البيانات وتلخيص الملفات والمستندات إنشاء عروض PowerPoint بشكل تلقائي تحسين وصياغة رسائل البريد في Outlook دعم ذكي داخل تطبيقات Microsoft 365 توفير الوقت وزيادة الإنتاجية يعمل عبر السحابة وبشكل فوري اشتراك مشترك مميزات الاشتراك عبر تركس اشتراك رسمي وموثوق دعم فني متواصل 24 7 اشتراك عالمي تفعيل مضمون 100 شامل اوفيس 365 ما هي مدة التفعيل يتم تفعيل الاشتراك خلال 24 ساعة فقط من إتمام الطلب والدفع بنجاح لمن هذا المنتج الموظفون وأصحاب الأعمال الطلاب والباحثون محللو البيانات ومدراء المشاريع صناع المحتوى والكتاب رواد الأعمال ليش تختار Microsoft Copilot لأنه يحول طريقة عملك إلى تجربة ذكية مدعومة بالذكاء الاصطناعي ذكاء اصطناعي متكامل مع أوفيس كتابة أسرع وأكثر احترافية تحليل ذكي للمعلومات توفير كبير في الوقت والجهد إنتاجية أعلى يوميا باختصار Copilot هو شريكك الذكي لإنجاز الأعمال بكفاءة أعلى ,0,0.9,"The product is a monthly subscription for Microsoft Copilot Premium, which is a digital service subscription. It does not mention lifetime subscription, account sale, team invite, or shared access. It fits the category of allowed digital products such as licenses or subscriptions.","['monthly subscription', 'Microsoft Copilot Premium', 'official subscription', 'digital service']",llm
اشتراك كوبايلوت بريميوم لمدة 6 اشهر Microsoft Copilot Premium  كوبايلوت Microsoft Copilot عزز إنتاجيتك اليومية مع Microsoft Copilot مساعد ذكي يعمل بالذكاء الاصطناعي لمساعدتك في الكتابة التحليل إنشاء المحتوى وتنفيذ المهام بسرعة ودقة أعلى الحل المثالي للموظفين الطلاب ورواد الأعمال الباحثين عن عمل أذكى وأسرع مزايا اشتراك Microsoft Copilot مساعد ذكي للكتابة تقارير رسائل محتوى تحليل البيانات وتلخيص الملفات والمستندات إنشاء عروض PowerPoint بشكل تلقائي تحسين وصياغة رسائل البريد في Outlook دعم ذكي داخل تطبيقات Microsoft 365 توفير الوقت وزيادة الإنتاجية يعمل عبر السحابة وبشكل فوري اشتراك مشترك مميزات الاشتراك عبر تركس اشتراك رسمي وموثوق دعم فني متواصل 24 7 اشتراك عالمي تفعيل مضمون 100 شامل اوفيس 365 ما هي مدة التفعيل يتم تفعيل الاشتراك خلال 24 ساعة فقط من إتمام الطلب والدفع بنجاح لمن هذا المنتج الموظفون وأصحاب الأعمال الطلاب والباحثون محللو البيانات ومدراء المشاريع صناع المحتوى والكتاب رواد الأعمال ليش تختار Microsoft Copilot لأنه يحول طريقة عملك إلى تجربة ذكية مدعومة بالذكاء الاصطناعي ذكاء اصطناعي متكامل مع أوفيس كتابة أسرع وأكثر احترافية تحليل ذكي للمعلومات توفير كبير في الوقت والجهد إنتاجية أعلى يوميا باختصار Copilot هو شريكك الذكي لإنجاز الأعمال بكفاءة أعلى ,2,0.9,"The product is a 6-month subscription for Microsoft Copilot Premium, which is a lifetime or time-limited subscription and such subscriptions are classified as illegal according to the rules.","['اشتراك', 'مدة 6 اشهر', 'Microsoft Copilot Premium', 'اشتراك مشترك', 'تفعيل الاشتراك']",llm
حساب ستيم منطقة هندي  بعد الدفع سيأتيك التالي اسم المستخدم و كلمة سر لستيم والايميل ورقمه السري صندوق البريد تأتي البيانات بالشكل التالي SteamLogin SteamPassword Email password تنويه مهم لمعرفة كيفية تغير المعلومات حساب بشكل كامل قم أضغط هنا,2,0.95,"The product is selling a Steam account with username, password, email, and email password, which constitutes account selling, classified as illegal.","['account', 'username', 'password', 'email', 'account بيع حساب']",llm
حساب ستيم منطقة فلبين  بعد الدفع سيأتيك التالي اسم المستخدم و كلمة سر لستيم والايميل ورقمه السري صندوق البريد تأتي البيانات بالشكل التالي SteamLogin SteamPassword Email password تنويه مهم لمعرفة كيفية تغير المعلومات حساب بشكل كامل قم أضغط هنا,2,0.95,"The product is selling a Steam account with full login credentials, which is classified as illegal account selling.","['account بيع حساب', 'SteamLogin', 'SteamPassword', 'Email password']",llm
حساب ستيم منطقة تركيا  بعد الدفع سيأتيك التالي اسم المستخدم و كلمة سر لستيم والايميل ورقمه السري صندوق البريد تأتي البيانات بالشكل التالي SteamLogin SteamPassword Email password تنويه مهم لمعرفة كيفية تغير المعلومات حساب بشكل كامل قم أضغط هنا,2,0.95,"The product is selling a Steam account with username, password, email, and email password, which constitutes account selling, classified as illegal.","['account بيع حساب', 'username and password', 'email and email password', 'Steam account']",llm
اشتراك سبوتيفاي شهر واحد Spotify Premium  استمتع بتجربة موسيقية لا مثيل لها مع اشتراك سبوتيفاي بريميوم Spotify Premium اكتشف منصة الموسيقى الأولى عالميا واستمتع بكل ما تحبه من الأغاني العربية والعالمية في مكان واحد أنشئ قوائم التشغيل الخاصة بك واكتشف ملايين الأغاني بسهولة مزايا اشتراك سبوتيفاي بريميوم تشغيل الموسيقى في الخلفية حتى لو كان هاتفك مغلقا أو تستخدم تطبيقات أخرى استمتع بأغانيك المفضلة بدون إعلانات مزعجة وصول حصري لأحدث الأغاني والإصدارات العالمية والعربية إمكانية تنزيل الأغاني والاستماع إليها دون اتصال بالإنترنت الضمان والجودة مدة ضمان الاشتراك بنفس مدة الاشتراك التي اخترتها ستحصل على دعوة خاصة على الرقم المسجل في طلبك وبإمكانك الانضمام إلى اشتراكك فورا طريقة استلام الاشتراك سيتم إرسال رابط تفعيل اشتراكك في سبوتيفاي مباشرة إلى حسابك الشخصي دون الحاجة لأي معلومات دخول أو بيانات إضافية لسهولة وسرعة تفعيل اشتراكك فورا الاستفسار تواصل معنا الآن عبر قنوات دعم الواتساب 966532170085 تيليجرام TRxSTOREBOT يسعدنا خدمتكم على مدار الساعة سبوتيفاي بريميوم عالم من الموسيقى بين يديك ,2,0.9,"The product is a Spotify Premium subscription with a mention of a 'دعوة خاصة' (special invite) to join the subscription, which implies shared access or team invite, classified as illegal.","['Spotify Premium subscription', 'special invite', 'shared access']",llm
